PassengerId,is_male,Location,Class,Fare,Age,had_parents,had_siblings,Survived
1,1,0,0,7.25,22,0,1,0
2,0,1,0,71.2833,38,0,1,1
3,0,0,0,7.925,26,0,0,1
4,0,1,0,53.1,35,0,1,1
5,1,0,0,8.05,35,0,0,0
6,1,0,0,8.4583,26.50758893,0,0,0
7,1,1,0,51.8625,54,0,0,0
8,1,0,0,21.075,2,1,1,0
9,0,0,0,11.1333,27,1,0,1
10,0,0,1,30.0708,14,0,1,1
11,0,0,0,16.7,4,1,1,1
12,0,1,0,26.55,58,0,0,1
13,1,0,0,8.05,20,0,0,0
14,1,0,0,31.275,39,1,1,0
15,0,0,0,7.8542,14,0,0,0
16,0,0,1,16,55,0,0,1
17,1,0,0,29.125,2,1,1,0
18,1,0,1,13,30.74070707,0,0,1
19,0,0,0,18,31,0,1,0
20,0,0,0,7.225,21.75,0,0,1
21,1,0,1,26,35,0,0,0
22,1,0,1,13,34,0,0,1
23,0,0,0,8.0292,15,0,0,1
24,1,1,0,35.5,28,0,0,1
25,0,0,0,21.075,8,1,1,0
26,0,0,0,31.3875,38,1,1,1
27,1,0,0,7.225,26.50758893,0,0,0
28,1,1,0,263,19,1,1,0
29,0,0,0,7.8792,21.75,0,0,1
30,1,0,0,7.8958,26.50758893,0,0,0
31,1,1,0,27.7208,40,0,0,0
32,0,1,0,146.5208,34.61176471,0,1,1
33,0,0,0,7.75,21.75,0,0,1
34,1,0,1,10.5,66,0,0,0
35,1,1,0,82.1708,28,0,1,0
36,1,1,0,52,42,0,1,0
37,1,0,0,7.2292,26.50758893,0,0,1
38,1,0,0,8.05,21,0,0,0
39,0,0,0,18,18,0,1,0
40,0,0,0,11.2417,14,0,1,1
41,0,0,0,9.475,40,0,1,0
42,0,0,1,21,27,0,1,0
43,1,0,0,7.8958,26.50758893,0,0,0
44,0,0,1,41.5792,3,1,1,1
45,0,0,0,7.8792,19,0,0,1
46,1,0,0,8.05,26.50758893,0,0,0
47,1,0,0,15.5,26.50758893,0,1,0
48,0,0,0,7.75,21.75,0,0,1
49,1,0,0,21.6792,26.50758893,0,1,0
50,0,0,0,17.8,18,0,1,0
51,1,0,0,39.6875,7,1,1,0
52,1,0,0,7.8,21,0,0,0
53,0,1,0,76.7292,49,0,1,1
54,0,0,1,26,29,0,1,1
55,1,1,0,61.9792,65,1,0,0
56,1,1,0,35.5,41.28138614,0,0,1
57,0,0,1,10.5,21,0,0,1
58,1,0,0,7.2292,28.5,0,0,0
59,0,0,1,27.75,5,1,1,1
60,1,0,0,46.9,11,1,1,0
61,1,0,0,7.2292,22,0,0,0
62,0,1,0,80,38,0,0,1
63,1,1,0,83.475,45,0,1,0
64,1,0,0,27.9,4,1,1,0
65,1,1,0,27.7208,41.28138614,0,0,0
66,1,0,0,15.2458,26.50758893,1,1,1
67,0,0,1,10.5,29,0,0,1
68,1,0,0,8.1583,19,0,0,0
69,0,0,0,7.925,17,1,1,1
70,1,0,0,8.6625,26,0,1,0
71,1,0,1,10.5,32,0,0,0
72,0,0,0,46.9,16,1,1,0
73,1,0,1,73.5,21,0,0,0
74,1,0,0,14.4542,26,0,1,0
75,1,0,0,56.4958,32,0,0,1
76,1,0,0,7.65,25,0,0,0
77,1,0,0,7.8958,26.50758893,0,0,0
78,1,0,0,8.05,26.50758893,0,0,0
79,1,0,1,29,0.83,1,0,1
80,0,0,0,12.475,30,0,0,1
81,1,0,0,9,22,0,0,0
82,1,0,0,9.5,29,0,0,1
83,0,0,0,7.7875,21.75,0,0,1
84,1,1,0,47.1,28,0,0,0
85,0,0,1,10.5,17,0,0,1
86,0,0,0,15.85,33,0,1,1
87,1,0,0,34.375,16,1,1,0
88,1,0,0,8.05,26.50758893,0,0,0
89,0,1,0,263,23,1,1,1
90,1,0,0,8.05,24,0,0,0
91,1,0,0,8.05,29,0,0,0
92,1,0,0,7.8542,20,0,0,0
93,1,1,0,61.175,46,0,1,0
94,1,0,0,20.575,26,1,1,0
95,1,0,0,7.25,59,0,0,0
96,1,0,0,8.05,26.50758893,0,0,0
97,1,1,0,34.6542,71,0,0,0
98,1,1,0,63.3583,23,1,0,1
99,0,0,1,23,34,1,0,1
100,1,0,1,26,34,0,1,0
101,0,0,0,7.8958,28,0,0,0
102,1,0,0,7.8958,26.50758893,0,0,0
103,1,1,0,77.2875,21,1,0,0
104,1,0,0,8.6542,33,0,0,0
105,1,0,0,7.925,37,0,1,0
106,1,0,0,7.8958,28,0,0,0
107,0,0,0,7.65,21,0,0,1
108,1,0,0,7.775,26.50758893,0,0,1
109,1,0,0,7.8958,38,0,0,0
110,0,0,0,24.15,21.75,0,1,1
111,1,1,0,52,47,0,0,0
112,0,0,0,14.4542,14.5,0,1,0
113,1,0,0,8.05,22,0,0,0
114,0,0,0,9.825,20,0,1,0
115,0,0,0,14.4583,17,0,0,0
116,1,0,0,7.925,21,0,0,0
117,1,0,0,7.75,70.5,0,0,0
118,1,0,1,21,29,0,1,0
119,1,1,0,247.5208,24,1,0,0
120,0,0,0,31.275,2,1,1,0
121,1,0,1,73.5,21,0,1,0
122,1,0,0,8.05,26.50758893,0,0,0
123,1,0,1,30.0708,32.5,0,1,0
124,0,0,1,13,32.5,0,0,1
125,1,1,0,77.2875,54,1,0,0
126,1,0,0,11.2417,12,0,1,1
127,1,0,0,7.75,26.50758893,0,0,0
128,1,0,0,7.1417,24,0,0,1
129,0,0,0,22.3583,21.75,1,1,1
130,1,0,0,6.975,45,0,0,0
131,1,0,0,7.8958,33,0,0,0
132,1,0,0,7.05,20,0,0,0
133,0,0,0,14.5,47,0,1,0
134,0,0,1,26,29,0,1,1
135,1,0,1,13,25,0,0,0
136,1,0,1,15.0458,23,0,0,0
137,0,1,0,26.2833,19,1,0,1
138,1,1,0,53.1,37,0,1,0
139,1,0,0,9.2167,16,0,0,0
140,1,1,0,79.2,24,0,0,0
141,0,0,0,15.2458,21.75,1,0,0
142,0,0,0,7.75,22,0,0,1
143,0,0,0,15.85,24,0,1,1
144,1,0,0,6.75,19,0,0,0
145,1,0,1,11.5,18,0,0,0
146,1,0,1,36.75,19,1,1,0
147,1,0,0,7.7958,27,0,0,1
148,0,0,0,34.375,9,1,1,0
149,1,0,1,26,36.5,1,0,0
150,1,0,1,13,42,0,0,0
151,1,0,1,12.525,51,0,0,0
152,0,1,0,66.6,22,0,1,1
153,1,0,0,8.05,55.5,0,0,0
154,1,0,0,14.5,40.5,1,0,0
155,1,0,0,7.3125,26.50758893,0,0,0
156,1,1,0,61.3792,51,1,0,0
157,0,0,0,7.7333,16,0,0,1
158,1,0,0,8.05,30,0,0,0
159,1,0,0,8.6625,26.50758893,0,0,0
160,1,0,0,69.55,26.50758893,1,1,0
161,1,0,0,16.1,44,1,0,0
162,0,0,1,15.75,40,0,0,1
163,1,0,0,7.775,26,0,0,0
164,1,0,0,8.6625,17,0,0,0
165,1,0,0,39.6875,1,1,1,0
166,1,0,0,20.525,9,1,0,1
167,0,1,0,55,34.61176471,1,0,1
168,0,0,0,27.9,45,1,1,0
169,1,1,0,25.925,41.28138614,0,0,0
170,1,0,0,56.4958,28,0,0,0
171,1,1,0,33.5,61,0,0,0
172,1,0,0,29.125,4,1,1,0
173,0,0,0,11.1333,1,1,1,1
174,1,0,0,7.925,21,0,0,0
175,1,1,0,30.6958,56,0,0,0
176,1,0,0,7.8542,18,1,1,0
177,1,0,0,25.4667,26.50758893,1,1,0
178,0,1,0,28.7125,50,0,0,0
179,1,0,1,13,30,0,0,0
180,1,0,0,0,36,0,0,0
181,0,0,0,69.55,21.75,1,1,0
182,1,0,1,15.05,30.74070707,0,0,0
183,1,0,0,31.3875,9,1,1,0
184,1,0,1,39,1,1,1,1
185,0,0,0,22.025,4,1,0,1
186,1,1,0,50,41.28138614,0,0,0
187,0,0,0,15.5,21.75,0,1,1
188,1,1,0,26.55,45,0,0,1
189,1,0,0,15.5,40,1,1,0
190,1,0,0,7.8958,36,0,0,0
191,0,0,1,13,32,0,0,1
192,1,0,1,13,19,0,0,0
193,0,0,0,7.8542,19,0,1,1
194,1,0,1,26,3,1,1,1
195,0,1,0,27.7208,44,0,0,1
196,0,1,0,146.5208,58,0,0,1
