"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2014,1,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",399.00,128.00,53.67,4.62,27.60,0.00,42.11,5.00,0.00,6166.00,2617.00,290.00,940.00,0.00,2319.00,
2014,1,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",124.00,14.00,5.00,0.00,8.00,0.00,1.00,0.00,0.00,742.00,301.00,0.00,416.00,0.00,25.00,
2014,1,"B6","JetBlue Airways","DEN","Denver, CO: Denver International",83.00,34.00,11.40,0.54,12.61,0.45,9.00,12.00,0.00,2172.00,693.00,14.00,552.00,37.00,876.00,
2014,1,"DL","Delta Air Lines Inc.","DEN","Denver, CO: Denver International",549.00,176.00,57.75,15.42,56.12,0.00,46.71,14.00,2.00,10709.00,4056.00,1281.00,2653.00,0.00,2719.00,
2014,1,"EV","ExpressJet Airlines Inc.","DEN","Denver, CO: Denver International",1633.00,535.00,95.44,11.71,171.45,0.00,256.41,213.00,3.00,46018.00,11787.00,1280.00,11137.00,0.00,21814.00,
2014,1,"F9","Frontier Airlines Inc.","DEN","Denver, CO: Denver International",2655.00,853.00,147.61,17.40,430.85,0.00,257.14,33.00,1.00,55261.00,11056.00,2988.00,21384.00,0.00,19833.00,
2014,1,"FL","AirTran Airways Corporation","DEN","Denver, CO: Denver International",60.00,20.00,10.20,0.00,6.84,0.00,2.96,4.00,0.00,616.00,344.00,0.00,183.00,0.00,89.00,
2014,1,"MQ","American Eagle Airlines Inc.","DEN","Denver, CO: Denver International",186.00,73.00,20.50,9.28,19.49,0.00,23.73,20.00,0.00,5352.00,1847.00,744.00,1217.00,0.00,1544.00,
2014,1,"OO","SkyWest Airlines Inc.","DEN","Denver, CO: Denver International",3927.00,1041.00,125.38,14.99,372.79,2.06,525.79,247.00,3.00,58472.00,9835.00,1743.00,14302.00,74.00,32518.00,
2014,1,"UA","United Air Lines Inc.","DEN","Denver, CO: Denver International",3500.00,800.00,285.45,55.07,209.91,0.00,249.57,115.00,0.00,49933.00,18499.00,3712.00,7836.00,0.00,19886.00,
2014,1,"US","US Airways Inc.","DEN","Denver, CO: Denver International",381.00,85.00,29.74,0.93,33.14,0.00,21.20,4.00,1.00,4708.00,1557.00,78.00,1289.00,0.00,1784.00,
2014,1,"WN","Southwest Airlines Co.","DEN","Denver, CO: Denver International",4458.00,1459.00,430.77,35.60,344.08,5.72,642.83,121.00,5.00,89290.00,25482.00,3865.00,14632.00,171.00,45140.00,
2014,2,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",343.00,106.00,32.59,3.05,34.60,0.00,35.76,9.00,1.00,6097.00,1590.00,449.00,1524.00,0.00,2534.00,
2014,2,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",112.00,8.00,3.00,0.37,3.63,0.00,1.00,1.00,0.00,356.00,92.00,15.00,225.00,0.00,24.00,
2014,2,"B6","JetBlue Airways","DEN","Denver, CO: Denver International",78.00,37.00,9.04,1.22,14.31,0.00,12.43,5.00,0.00,2006.00,501.00,166.00,588.00,0.00,751.00,
2014,2,"DL","Delta Air Lines Inc.","DEN","Denver, CO: Denver International",469.00,111.00,40.72,7.05,46.11,1.00,16.12,13.00,0.00,6519.00,1883.00,1865.00,1773.00,25.00,973.00,
2014,2,"EV","ExpressJet Airlines Inc.","DEN","Denver, CO: Denver International",1436.00,512.00,90.15,9.53,177.55,0.00,234.76,98.00,2.00,38466.00,9644.00,625.00,11089.00,0.00,17108.00,
2014,2,"F9","Frontier Airlines Inc.","DEN","Denver, CO: Denver International",2362.00,730.00,105.80,12.71,397.36,0.00,214.12,9.00,2.00,38409.00,6656.00,659.00,16632.00,0.00,14462.00,
2014,2,"FL","AirTran Airways Corporation","DEN","Denver, CO: Denver International",66.00,23.00,12.51,0.00,7.54,0.00,2.95,3.00,0.00,1272.00,445.00,0.00,370.00,0.00,457.00,
2014,2,"MQ","American Eagle Airlines Inc.","DEN","Denver, CO: Denver International",133.00,42.00,8.41,4.12,9.63,0.00,19.84,5.00,1.00,3058.00,750.00,275.00,694.00,0.00,1339.00,
2014,2,"OO","SkyWest Airlines Inc.","DEN","Denver, CO: Denver International",3481.00,974.00,121.17,24.31,309.73,1.00,517.79,165.00,9.00,58955.00,10811.00,2312.00,13583.00,18.00,32231.00,
2014,2,"UA","United Air Lines Inc.","DEN","Denver, CO: Denver International",3301.00,865.00,313.90,43.89,256.56,0.00,250.64,67.00,3.00,46121.00,17584.00,3534.00,9743.00,0.00,15260.00,
2014,2,"US","US Airways Inc.","DEN","Denver, CO: Denver International",330.00,80.00,27.35,2.83,32.25,1.16,16.41,14.00,0.00,3579.00,1236.00,353.00,1098.00,25.00,867.00,
2014,2,"WN","Southwest Airlines Co.","DEN","Denver, CO: Denver International",4068.00,1044.00,283.81,20.48,270.94,0.48,468.29,54.00,8.00,47825.00,12520.00,1930.00,9744.00,8.00,23623.00,
2014,3,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",417.00,86.00,38.46,4.92,21.22,1.00,20.40,6.00,0.00,4070.00,1954.00,329.00,919.00,20.00,848.00,
2014,3,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",124.00,11.00,1.77,0.00,7.23,0.00,2.00,0.00,0.00,464.00,33.00,0.00,222.00,0.00,209.00,
2014,3,"B6","JetBlue Airways","DEN","Denver, CO: Denver International",88.00,23.00,10.21,0.42,6.88,0.00,5.49,1.00,0.00,1087.00,538.00,16.00,255.00,0.00,278.00,
