"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2017,9,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",175.00,14.00,6.02,0.00,2.51,0.00,5.47,0.00,0.00,646.00,197.00,0.00,70.00,0.00,379.00,
2017,9,"AA","American Airlines Inc.","ALB","Albany, NY: Albany International",79.00,8.00,4.37,0.00,0.77,0.00,2.86,0.00,0.00,424.00,182.00,0.00,25.00,0.00,217.00,
2017,9,"AA","American Airlines Inc.","AMA","Amarillo, TX: Rick Husband Amarillo International",30.00,5.00,2.61,0.00,0.11,0.00,2.28,0.00,0.00,228.00,89.00,0.00,11.00,0.00,128.00,
2017,9,"AA","American Airlines Inc.","ANC","Anchorage, AK: Ted Stevens Anchorage International",30.00,5.00,4.39,0.00,0.33,0.00,0.28,0.00,0.00,212.00,193.00,0.00,14.00,0.00,5.00,
2017,9,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",889.00,113.00,45.14,3.40,30.68,0.00,33.78,39.00,4.00,6786.00,2837.00,453.00,1347.00,0.00,2149.00,
2017,9,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",733.00,89.00,32.85,0.09,22.73,0.00,33.33,1.00,0.00,4349.00,1637.00,4.00,990.00,0.00,1718.00,
2017,9,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",354.00,57.00,24.77,1.37,14.47,0.00,16.39,7.00,1.00,2937.00,1280.00,108.00,637.00,0.00,912.00,
2017,9,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville International",460.00,67.00,32.20,2.48,20.88,0.05,11.39,9.00,1.00,3303.00,1526.00,141.00,779.00,2.00,855.00,
2017,9,"AA","American Airlines Inc.","BOI","Boise, ID: Boise Air Terminal",90.00,10.00,5.31,0.00,4.27,0.00,0.42,0.00,0.00,654.00,459.00,0.00,175.00,0.00,20.00,
2017,9,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",2124.00,477.00,105.02,24.50,272.71,1.39,73.37,61.00,2.00,24691.00,4914.00,1858.00,13143.00,70.00,4706.00,
2017,9,"AA","American Airlines Inc.","BUF","Buffalo, NY: Buffalo Niagara International",79.00,9.00,4.41,0.00,1.26,0.00,3.34,0.00,1.00,421.00,159.00,0.00,33.00,0.00,229.00,
2017,9,"AA","American Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",461.00,64.00,28.13,3.00,17.60,0.00,15.27,18.00,1.00,3795.00,1794.00,163.00,920.00,0.00,918.00,
2017,9,"AA","American Airlines Inc.","BZN","Bozeman, MT: Bozeman Yellowstone International",35.00,13.00,4.18,0.00,8.82,0.00,0.00,0.00,0.00,362.00,142.00,0.00,220.00,0.00,0.00,
2017,9,"AA","American Airlines Inc.","CHS","Charleston, SC: Charleston AFB/International",145.00,18.00,9.35,0.00,3.09,0.00,5.56,5.00,0.00,1036.00,584.00,0.00,118.00,0.00,334.00,
2017,9,"AA","American Airlines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",266.00,30.00,16.72,0.48,8.32,0.00,4.48,2.00,0.00,1607.00,1070.00,29.00,303.00,0.00,205.00,
2017,9,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",8063.00,884.00,256.43,15.02,364.16,3.08,245.31,290.00,4.00,47762.00,16731.00,1590.00,12860.00,221.00,16360.00,
2017,9,"AA","American Airlines Inc.","CMH","Columbus, OH: John Glenn Columbus International",184.00,27.00,16.21,0.00,5.96,0.00,4.82,0.00,0.00,1377.00,960.00,0.00,215.00,0.00,202.00,
2017,9,"AA","American Airlines Inc.","COS","Colorado Springs, CO: City of Colorado Springs Municipal",112.00,8.00,4.14,0.00,2.86,0.00,1.00,0.00,0.00,335.00,222.00,0.00,70.00,0.00,43.00,
2017,9,"AA","American Airlines Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",60.00,6.00,4.90,0.00,0.29,0.00,0.82,0.00,0.00,273.00,240.00,0.00,8.00,0.00,25.00,
2017,9,"AA","American Airlines Inc.","DAY","Dayton, OH: James M Cox/Dayton International",59.00,4.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,158.00,101.00,0.00,19.00,0.00,38.00,
2017,9,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",2040.00,307.00,78.21,15.95,106.28,0.74,105.82,115.00,3.00,15288.00,3534.00,2034.00,3666.00,29.00,6025.00,
2017,9,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",914.00,128.00,62.43,1.17,35.08,0.81,28.52,18.00,1.00,7488.00,4168.00,73.00,1232.00,17.00,1998.00,
2017,9,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",11392.00,1038.00,404.00,25.82,260.19,6.75,341.24,226.00,4.00,68908.00,33085.00,2235.00,7894.00,297.00,25397.00,
2017,9,"AA","American Airlines Inc.","DSM","Des Moines, IA: Des Moines International",143.00,12.00,5.21,0.00,3.46,0.00,3.33,0.00,0.00,575.00,262.00,0.00,115.00,0.00,198.00,
2017,9,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",483.00,65.00,24.92,2.91,19.02,0.00,18.16,24.00,1.00,3624.00,1329.00,247.00,766.00,0.00,1282.00,
2017,9,"AA","American Airlines Inc.","EGE","Eagle, CO: Eagle County Regional",30.00,4.00,1.74,0.00,0.00,0.00,2.26,0.00,1.00,458.00,62.00,0.00,0.00,0.00,396.00,
2017,9,"AA","American Airlines Inc.","ELP","El Paso, TX: El Paso International",92.00,17.00,6.22,0.51,6.65,0.00,3.62,0.00,0.00,556.00,171.00,21.00,170.00,0.00,194.00,
2017,9,"AA","American Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",609.00,171.00,36.19,1.70,111.11,0.25,21.76,18.00,1.00,10127.00,2112.00,158.00,5970.00,4.00,1883.00,
2017,9,"AA","American Airlines Inc.","FAT","Fresno, CA: Fresno Yosemite International",59.00,8.00,3.17,0.00,2.92,0.00,1.91,0.00,0.00,540.00,94.00,0.00,104.00,0.00,342.00,
2017,9,"AA","American Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",450.00,67.00,23.00,1.00,26.51,1.00,15.49,73.00,1.00,3054.00,1163.00,47.00,915.00,67.00,862.00,
2017,9,"AA","American Airlines Inc.","GEG","Spokane, WA: Spokane International",89.00,7.00,3.54,0.00,3.06,0.00,0.39,0.00,0.00,504.00,365.00,0.00,100.00,0.00,39.00,
2017,9,"AA","American Airlines Inc.","GSO","Greensboro/High Point, NC: Piedmont Triad International",30.00,4.00,2.98,0.00,1.02,0.00,0.00,0.00,0.00,98.00,75.00,0.00,23.00,0.00,0.00,
2017,9,"AA","American Airlines Inc.","GSP","Greer, SC: Greenville-Spartanburg International",60.00,7.00,1.89,0.00,4.05,0.00,1.05,1.00,0.00,348.00,168.00,0.00,156.00,0.00,24.00,
2017,9,"AA","American Airlines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",237.00,20.00,10.91,0.00,2.61,0.00,6.48,0.00,2.00,2276.00,933.00,0.00,86.00,0.00,1257.00,
2017,9,"AA","American Airlines Inc.","IAD","Washington, DC: Washington Dulles International",155.00,15.00,8.79,0.00,3.71,0.00,2.50,0.00,0.00,580.00,234.00,0.00,114.00,0.00,232.00,
