"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,10,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",2363.00,417.00,114.01,6.23,200.10,1.23,95.43,32.00,1.00,20035.00,5672.00,498.00,8532.00,141.00,5192.00,
2016,10,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1453.00,235.00,75.95,0.04,97.98,0.60,60.42,11.00,4.00,12249.00,5139.00,4.00,3416.00,135.00,3555.00,
2016,10,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3336.00,695.00,208.48,4.08,308.63,2.00,171.81,19.00,7.00,36069.00,13810.00,398.00,10086.00,91.00,11684.00,
2016,10,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",11619.00,1240.00,417.38,18.70,361.71,3.71,438.49,57.00,6.00,78816.00,36708.00,1007.00,11205.00,194.00,29702.00,
2016,10,"AA","American Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",145.00,13.00,7.68,0.00,3.96,0.00,1.35,0.00,1.00,497.00,308.00,0.00,149.00,0.00,40.00,
2016,10,"AA","American Airlines Inc.","OGG","Kahului, HI: Kahului Airport",153.00,42.00,13.33,0.00,21.32,0.00,7.35,1.00,0.00,1998.00,585.00,0.00,589.00,0.00,824.00,
2016,10,"AA","American Airlines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",236.00,74.00,38.85,1.00,27.68,0.00,6.47,0.00,0.00,3632.00,2437.00,54.00,773.00,0.00,368.00,
2016,10,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1376.00,495.00,67.25,4.68,346.75,0.38,75.94,10.00,2.00,29729.00,3514.00,351.00,20174.00,9.00,5681.00,
2016,10,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",5253.00,781.00,232.59,1.89,329.62,1.84,215.07,33.00,2.00,42310.00,16866.00,192.00,11417.00,64.00,13771.00,
2016,10,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",4224.00,528.00,197.15,7.35,172.38,0.18,150.94,193.00,2.00,29877.00,12938.00,759.00,5573.00,11.00,10596.00,
2016,10,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",698.00,76.00,41.87,1.00,17.84,0.00,15.29,8.00,0.00,4652.00,2901.00,93.00,513.00,0.00,1145.00,
2016,10,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",505.00,67.00,30.56,0.31,11.62,0.00,24.50,1.00,0.00,2985.00,1463.00,5.00,315.00,0.00,1202.00,
2016,10,"AA","American Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",664.00,166.00,53.45,1.95,80.07,0.21,30.31,2.00,2.00,7934.00,2738.00,97.00,3110.00,9.00,1980.00,
2016,10,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",1495.00,216.00,89.30,0.64,69.94,0.38,55.73,78.00,2.00,9753.00,4306.00,35.00,2183.00,12.00,3217.00,
2016,10,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",802.00,114.00,53.67,1.00,28.81,0.00,30.53,2.00,0.00,6027.00,3217.00,38.00,815.00,0.00,1957.00,
2016,10,"AA","American Airlines Inc.","LGA","New York, NY: LaGuardia",2284.00,378.00,82.12,2.09,200.43,0.17,93.19,60.00,12.00,19118.00,4226.00,147.00,9449.00,25.00,5271.00,
2016,10,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",2365.00,338.00,85.71,4.29,121.49,1.00,125.51,48.00,4.00,16762.00,4516.00,293.00,3796.00,17.00,8140.00,
2016,10,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",1245.00,195.00,77.08,2.52,72.72,0.79,41.89,3.00,1.00,8296.00,3856.00,58.00,2240.00,48.00,2094.00,
2016,10,"AA","American Airlines Inc.","PDX","Portland, OR: Portland International",329.00,77.00,23.80,0.00,33.37,0.00,19.83,0.00,2.00,3424.00,1525.00,0.00,919.00,0.00,980.00,
2016,10,"AA","American Airlines Inc.","SAN","San Diego, CA: San Diego International",723.00,113.00,40.81,0.78,42.91,0.00,28.50,1.00,1.00,4762.00,2049.00,35.00,1293.00,0.00,1385.00,
