"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,1,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",11956.00,1534.00,507.33,39.83,452.65,4.72,529.47,201.00,9.00,106950.00,50027.00,2842.00,13913.00,167.00,40001.00,
2016,1,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",588.00,98.00,34.71,4.71,19.77,0.32,38.49,13.00,2.00,5170.00,1754.00,312.00,655.00,16.00,2433.00,
2016,1,"AA","American Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",607.00,92.00,35.52,5.40,23.55,0.00,27.52,12.00,2.00,4485.00,1857.00,198.00,715.00,0.00,1715.00,
2016,1,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1595.00,335.00,117.00,10.26,117.66,0.83,89.25,137.00,6.00,23698.00,9681.00,1592.00,4371.00,18.00,8036.00,
2016,1,"AA","American Airlines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",327.00,59.00,23.67,1.47,14.50,0.06,19.29,0.00,0.00,2276.00,985.00,94.00,373.00,5.00,819.00,
2016,1,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",4664.00,607.00,198.83,16.75,234.62,0.99,155.81,98.00,2.00,33906.00,12889.00,1357.00,9182.00,242.00,10236.00,
2016,1,"AA","American Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",4993.00,617.00,225.25,10.24,227.08,0.12,154.31,86.00,3.00,31060.00,14884.00,1003.00,6267.00,5.00,8901.00,
2016,1,"AA","American Airlines Inc.","STL","St. Louis, MO: St Louis Lambert International",661.00,109.00,50.08,7.39,15.91,0.00,35.61,8.00,1.00,6142.00,2707.00,394.00,490.00,0.00,2551.00,
2016,1,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3192.00,611.00,231.06,17.86,191.95,1.29,168.84,74.00,2.00,37701.00,17618.00,1351.00,6832.00,36.00,11864.00,
2016,1,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",1639.00,409.00,143.71,13.08,158.40,1.09,92.72,55.00,2.00,19038.00,8099.00,676.00,4865.00,35.00,5363.00,
2016,1,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",818.00,139.00,60.69,3.57,28.30,0.18,46.26,14.00,0.00,7423.00,3531.00,213.00,816.00,3.00,2860.00,
2016,1,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",4628.00,1222.00,335.41,31.03,602.39,7.77,245.41,135.00,42.00,74959.00,28660.00,3960.00,21886.00,307.00,20146.00,
2016,1,"AA","American Airlines Inc.","KOA","Kona, HI: Kona International Airport at Keahole",70.00,30.00,10.41,1.00,16.82,0.00,1.78,0.00,0.00,1603.00,809.00,35.00,537.00,0.00,222.00,
2016,1,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",662.00,120.00,50.15,3.17,35.90,0.63,30.16,12.00,2.00,5967.00,2566.00,126.00,1290.00,82.00,1903.00,
2016,1,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",751.00,90.00,41.91,2.40,12.31,0.00,33.38,10.00,1.00,4800.00,2289.00,140.00,479.00,0.00,1892.00,
2016,1,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",1293.00,221.00,70.68,5.31,74.25,0.05,70.71,31.00,3.00,13526.00,4263.00,434.00,4137.00,1.00,4691.00,
2016,1,"AA","American Airlines Inc.","SLC","Salt Lake City, UT: Salt Lake City International",408.00,60.00,23.04,1.21,11.67,0.00,24.08,4.00,1.00,2783.00,1181.00,73.00,339.00,0.00,1190.00,
2016,1,"AA","American Airlines Inc.","TUS","Tucson, AZ: Tucson International",271.00,24.00,10.82,0.43,2.25,0.00,10.49,1.00,1.00,1141.00,457.00,23.00,100.00,0.00,561.00,
2016,1,"AA","American Airlines Inc.","STT","Charlotte Amalie, VI: Cyril E King",168.00,33.00,11.69,1.76,15.79,0.00,3.76,7.00,0.00,2548.00,1459.00,154.00,448.00,0.00,487.00,
2016,1,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",2236.00,336.00,126.44,16.08,96.03,0.00,97.45,97.00,1.00,16876.00,7490.00,821.00,3235.00,0.00,5330.00,
2016,1,"AA","American Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",819.00,157.00,54.01,4.72,59.92,0.00,38.36,32.00,2.00,7056.00,2956.00,270.00,1870.00,0.00,1960.00,
2016,1,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1270.00,376.00,73.87,10.43,238.24,0.80,52.67,34.00,0.00,21952.00,4180.00,877.00,13054.00,49.00,3792.00,
2016,1,"AA","American Airlines Inc.","OGG","Kahului, HI: Kahului Airport",138.00,71.00,20.68,0.00,46.97,0.39,2.96,0.00,1.00,3780.00,1639.00,0.00,1746.00,20.00,375.00,
2016,1,"AA","American Airlines Inc.","TPA","Tampa, FL: Tampa International",1028.00,208.00,83.25,4.82,61.87,0.94,57.12,34.00,1.00,10652.00,4904.00,268.00,1897.00,16.00,3567.00,
2016,1,"AA","American Airlines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",467.00,51.00,22.42,3.20,8.46,0.00,16.92,1.00,0.00,1763.00,735.00,94.00,203.00,0.00,731.00,
2016,1,"AA","American Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",153.00,15.00,7.09,0.00,0.39,0.00,7.52,0.00,0.00,571.00,251.00,0.00,17.00,0.00,303.00,
2016,1,"AA","American Airlines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",221.00,108.00,38.45,1.02,55.09,0.74,12.70,0.00,1.00,6328.00,2913.00,59.00,2002.00,21.00,1333.00,
2016,1,"AA","American Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",3508.00,495.00,186.34,13.97,132.54,0.18,161.96,225.00,2.00,30141.00,12169.00,2339.00,4686.00,7.00,10940.00,
2016,1,"AA","American Airlines Inc.","LGA","New York, NY: LaGuardia",2136.00,430.00,126.80,16.41,163.80,0.13,122.87,176.00,3.00,21966.00,6787.00,1367.00,6893.00,2.00,6917.00,
2016,1,"AA","American Airlines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",631.00,108.00,59.52,2.89,18.04,0.00,27.54,37.00,0.00,5710.00,2861.00,254.00,562.00,0.00,2033.00,
2016,1,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",2524.00,426.00,137.76,14.21,160.23,1.29,112.51,249.00,4.00,17905.00,5904.00,837.00,4957.00,68.00,6139.00,
2016,1,"AA","American Airlines Inc.","RIC","Richmond, VA: Richmond International",182.00,25.00,10.99,0.00,6.30,0.00,7.70,18.00,0.00,1050.00,515.00,0.00,178.00,0.00,357.00,
2016,1,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",833.00,138.00,65.61,5.94,31.79,0.00,34.67,21.00,0.00,7025.00,3799.00,322.00,847.00,0.00,2057.00,
2016,1,"AA","American Airlines Inc.","LBB","Lubbock, TX: Lubbock Preston Smith International",26.00,4.00,0.74,0.00,0.00,0.00,3.26,0.00,0.00,161.00,33.00,0.00,0.00,0.00,128.00,
2016,1,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",8130.00,1099.00,311.66,48.46,398.66,5.11,335.11,548.00,7.00,59807.00,20284.00,9608.00,12127.00,115.00,17673.00,
2016,1,"AA","American Airlines Inc.","ELP","El Paso, TX: El Paso International",127.00,15.00,10.95,0.00,0.33,0.00,3.73,1.00,0.00,658.00,475.00,0.00,16.00,0.00,167.00,
2016,1,"AA","American Airlines Inc.","SAN","San Diego, CA: San Diego International",718.00,112.00,58.80,3.47,17.06,0.46,32.21,9.00,1.00,5859.00,3124.00,277.00,522.00,23.00,1913.00,
2016,1,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville International",432.00,71.00,39.54,0.00,14.67,0.11,16.68,17.00,1.00,2864.00,1805.00,0.00,404.00,2.00,653.00,
2016,1,"AA","American Airlines Inc.","JAC","Jackson, WY: Jackson Hole",78.00,14.00,7.60,0.55,0.31,0.00,5.54,1.00,0.00,832.00,401.00,35.00,8.00,0.00,388.00,
2016,1,"AA","American Airlines Inc.","SMF","Sacramento, CA: Sacramento International",271.00,40.00,15.65,0.84,9.78,0.00,13.73,1.00,0.00,1532.00,737.00,53.00,220.00,0.00,522.00,
2016,1,"AA","American Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",675.00,126.00,47.13,4.00,45.28,0.33,29.25,60.00,2.00,6504.00,2742.00,132.00,1473.00,11.00,2146.00,
2016,1,"AA","American Airlines Inc.","IAD","Washington, DC: Washington Dulles International",216.00,45.00,16.86,1.62,12.56,0.00,13.96,22.00,2.00,2039.00,917.00,68.00,450.00,0.00,604.00,
2016,1,"AA","American Airlines Inc.","LIH","Lihue, HI: Lihue Airport",75.00,38.00,9.14,0.06,25.20,0.04,3.56,0.00,0.00,1574.00,524.00,1.00,817.00,1.00,231.00,
2016,1,"AA","American Airlines Inc.","SJU","San Juan, PR: Luis Munoz Marin International",585.00,152.00,65.35,7.48,46.03,0.00,33.14,16.00,1.00,8684.00,4853.00,475.00,1491.00,0.00,1865.00,
2016,1,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",148.00,25.00,14.55,1.00,3.80,0.00,5.66,1.00,0.00,934.00,601.00,48.00,84.00,0.00,201.00,
2016,1,"AA","American Airlines Inc.","ORF","Norfolk, VA: Norfolk International",160.00,24.00,10.08,0.94,6.87,0.00,6.10,8.00,0.00,1033.00,470.00,33.00,169.00,0.00,361.00,
2016,1,"AA","American Airlines Inc.","JAX","Jacksonville, FL: Jacksonville International",328.00,43.00,23.61,0.32,9.43,0.00,9.64,12.00,0.00,2219.00,1356.00,38.00,301.00,0.00,524.00,
